Disease,medication
Acute Febrile Illness (AFI) ,"Chloroquine, Primaquine, Paracetamol, Coartem, Diclofenac, Ciprofloxacin, Cimetidine, Glucose IV, Cephalexin, Chlorpheniramine, Artesunate, Artemether, Antipyretics"
Acute Gastroenteritis (AGE),"Ciprofloxacin, ORS, Paracetamol, Metronidazole, Antacid, Albendazole"
Intestinal Parasites (I/P),"Albendazole, Ciprofloxacin, Metronidazole, Cough Syrup, ORS, Domperidone, Dextromethorphan, Cephalexin, Paracetamol, Mebendazole, Antacid Syrup, Anti-helminthic, Tinidazole, Pantoprazole, Diclofenac, Dextrose"
Upper Respiratory Tract Infection (URTI),"Azithromycin, Paracetamol, Coartem, Doxycycline, Ciprofloxacin, Cough Syrup, Chlorpheniramine, Diclofenac, Dextromethorphan, Norfloxacin, Amoxicillin, Thorazine, Cephalexin, Augmentin"
